iter	Passed	Remaining
0	135	135687
1	136	68116
2	137	45622
3	137	34360
4	138	27592
5	139	23084
6	139	19855
7	140	17453
8	141	15579
9	142	14073
10	142	12836
11	143	11810
12	144	10940
13	144	10195
14	145	9547
15	146	8981
16	146	8488
17	147	8043
18	148	7643
19	148	7280
20	149	6953
21	149	6656
22	150	6384
23	150	6135
24	151	5910
25	152	5705
26	152	5512
27	153	5338
28	154	5171
29	155	5012
30	155	4863
31	156	4723
32	156	4593
33	157	4469
34	157	4354
35	158	4246
36	159	4144
37	159	4048
38	160	3955
39	161	3865
40	161	3783
41	162	3703
42	162	3626
43	163	3552
44	164	3482
45	164	3415
46	165	3351
47	166	3294
48	166	3239
49	167	3184
50	168	3131
51	169	3081
52	169	3030
53	170	2980
54	170	2933
55	171	2888
56	171	2844
57	172	2802
58	173	2762
59	173	2722
60	174	2684
61	174	2647
62	175	2611
63	176	2576
64	176	2542
65	177	2509
66	177	2476
67	178	2445
68	179	2416
69	179	2386
70	180	2357
71	180	2331
72	181	2305
73	182	2279
74	182	2254
75	183	2230
76	184	2207
77	184	2183
78	185	2159
79	185	2138
80	186	2116
81	187	2095
82	187	2071
83	188	2050
84	188	2030
85	189	2010
86	189	1991
87	190	1973
88	191	1955
89	191	1937
90	192	1922
91	193	1905
92	193	1888
93	194	1871
94	194	1855
95	195	1839
96	196	1824
97	196	1809
98	197	1794
99	198	1782
100	198	1768
101	199	1754
102	199	1740
103	200	1727
104	201	1713
105	201	1700
106	202	1687
107	202	1674
108	203	1662
109	203	1649
110	204	1637
111	205	1625
112	205	1613
113	206	1602
114	206	1591
115	207	1580
116	207	1568
117	208	1557
118	208	1546
119	209	1535
120	209	1525
121	210	1514
122	211	1505
123	211	1495
124	212	1486
125	213	1477
126	213	1467
127	214	1458
128	214	1449
129	215	1440
130	215	1431
131	216	1422
132	216	1413
133	217	1405
134	218	1397
135	218	1389
136	219	1382
137	220	1374
138	220	1366
139	221	1359
140	221	1351
141	222	1343
142	222	1335
143	223	1328
144	224	1321
145	224	1314
146	225	1307
147	226	1301
148	226	1294
149	227	1287
150	227	1281
151	228	1275
152	229	1268
153	229	1262
154	230	1255
155	230	1249
156	231	1243
157	232	1237
158	232	1232
159	233	1226
160	233	1219
161	234	1212
162	235	1206
163	235	1200
164	236	1195
165	236	1189
166	237	1184
167	238	1179
168	238	1174
169	239	1168
170	240	1164
171	240	1159
172	241	1154
173	242	1149
174	242	1145
175	243	1140
176	244	1135
177	244	1130
178	245	1125
179	246	1121
180	246	1117
181	247	1112
182	247	1107
183	248	1102
184	249	1097
185	249	1092
186	250	1087
187	250	1083
188	251	1078
189	251	1074
190	252	1070
191	253	1065
192	253	1061
193	254	1056
194	254	1052
195	255	1048
196	256	1044
197	257	1041
198	257	1037
199	258	1033
200	259	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1013
205	262	1009
206	262	1005
207	263	1001
208	263	997
209	264	994
210	264	990
211	265	986
212	266	983
213	266	979
214	267	976
215	267	972
216	268	969
217	269	965
218	269	961
219	270	959
220	271	955
221	271	952
222	272	949
223	273	947
224	273	943
225	274	940
226	275	936
227	275	933
228	276	930
229	276	926
230	277	923
231	278	920
232	278	917
233	279	914
234	279	910
235	280	907
236	280	904
237	281	901
238	282	898
239	282	894
240	283	891
241	283	888
242	284	885
243	284	882
244	286	881
245	286	878
246	287	876
247	287	873
248	288	870
249	289	868
250	289	865
251	290	862
252	291	859
253	291	856
254	292	853
255	292	851
256	293	848
257	293	845
258	294	842
259	295	839
260	295	836
261	296	834
262	296	831
263	297	828
264	297	825
265	298	823
266	298	820
267	299	817
268	300	815
269	300	813
270	301	810
271	301	808
272	302	806
273	303	803
274	304	801
275	304	799
276	305	797
277	305	794
278	306	792
279	307	789
280	307	787
281	308	784
282	308	782
283	309	779
284	309	777
285	310	774
286	310	772
287	311	769
288	312	767
289	312	765
290	313	762
291	313	760
292	314	758
293	314	756
294	315	753
295	316	751
296	316	749
297	317	747
298	318	745
299	318	743
300	319	741
301	320	739
302	320	737
303	321	735
304	322	733
305	322	731
306	323	729
307	323	727
308	324	725
309	325	723
310	325	721
311	326	719
312	327	717
313	327	715
314	328	713
315	329	712
316	329	710
317	330	708
318	330	706
319	331	704
320	332	703
321	333	701
322	333	699
323	334	697
324	334	695
325	335	693
326	336	691
327	336	689
328	337	687
329	337	685
330	338	683
331	338	681
332	339	679
333	339	677
334	340	676
335	341	674
336	341	672
337	342	670
338	342	668
339	343	666
340	343	664
341	344	662
342	345	661
343	345	659
344	346	657
345	347	656
346	347	654
347	348	652
348	348	650
349	349	649
350	349	647
351	350	645
352	351	643
353	351	641
354	352	639
355	352	638
356	353	636
357	353	634
358	354	632
359	354	631
360	355	629
361	356	627
362	356	626
363	357	624
364	358	622
365	358	621
366	359	619
367	359	617
368	360	616
369	361	614
370	361	613
371	362	612
372	363	610
373	363	609
374	364	607
375	365	606
376	365	604
377	366	603
378	367	601
379	367	599
380	368	598
381	368	596
382	369	595
383	370	593
384	370	592
385	371	590
386	371	588
387	372	587
388	372	585
389	373	584
390	374	582
391	374	580
392	375	579
393	376	578
394	376	577
395	377	575
396	378	574
397	378	572
398	379	571
399	379	569
400	380	568
401	380	566
402	381	565
403	382	563
404	382	562
405	383	560
406	383	559
407	384	557
408	384	555
409	385	554
410	385	552
411	386	551
412	386	549
413	387	548
414	388	547
415	388	545
416	389	544
417	389	542
418	390	541
419	391	540
420	391	538
421	392	537
422	393	536
423	393	534
424	394	533
425	394	531
426	395	530
427	395	529
428	396	527
429	396	526
430	397	524
431	398	523
432	398	521
433	399	520
